country,year,ShareRenewables_PrimEnProd,ShareFossils_PrimEnProd
FRA,1992,0.148853632095863,0.111048435233164
FRA,1993,0.135107908821813,0.101053225617502
FRA,1994,0.139474045360515,0.0967604824066263
FRA,1995,0.13419233351273,0.0867907507435736
FRA,1996,0.131189650911504,0.0772152486812288
FRA,1997,0.125700713695674,0.0669517603199144
FRA,1998,0.128201955245606,0.0584647589758079
FRA,1999,0.130336964410946,0.0534438087597367
FRA,2000,0.120820625212775,0.0426112975572992
FRA,2001,0.125964869871097,0.0344628520743939
FRA,2002,0.112347828899799,0.0298053213502946
FRA,2003,0.114638794993194,0.0296368473740051
FRA,2004,0.116333968072401,0.0212088709373949
FRA,2005,0.116971270587983,0.0175192895512354
FRA,2006,0.115299479786891,0.0177156851343827
FRA,2007,0.125372940890786,0.0169269142991739
FRA,2008,0.141038078137813,0.0166498167502813
FRA,2009,0.15138618832196,0.0156421397595472
FRA,2010,0.161153524195292,0.0134428793505515
FRA,2011,0.140018668940915,0.0117733036780696
FRA,2012,0.167426836272592,0.0107014075183694
FRA,2013,0.182821728941166,0.00970541192801715
FRA,2014,0.166747705834178,0.00742553882408478
FRA,2015,0.172531733701786,0.00757826986459712
FRA,2016,0.194080567652592,0.00750738906937533
FRA,2017,0.191631987124418,0.0073470080634942
FRA,2018,0.19991712677535,0.00667032719480203
FRA,2019,0.206983318940044,0.00715444358964856
FRA,2020,0.228807971602224,0.00671450302345117
FRA,2021,0.225795369298337,0.0066172131413427
FRA,2022,0.265499591499965,0.00741335876010828
FRA,2023,0.257950818318561,0.00661950918208156
HRV,1990,0.210821593296839,0.789178421799311
HRV,1991,0.30936683260247,0.69063316739753
HRV,1992,0.288564371688807,0.711435628311193
HRV,1993,0.288248532122495,0.711751467877505
HRV,1994,0.307535806206845,0.692464193793155
HRV,1995,0.314753691846011,0.685246308153989
HRV,1996,0.376702293656635,0.623297689413711
HRV,1997,0.3397881245672,0.660211857842448
HRV,1998,0.369928015726928,0.630071984273072
HRV,1999,0.393738475303331,0.606261524696669
HRV,2000,0.365315016140732,0.634371252813818
HRV,2001,0.371520027181563,0.627433375951878
HRV,2002,0.344692302371895,0.654412001383307
HRV,2003,0.36355000520041,0.635779548512324
HRV,2004,0.389610345646212,0.60948450951414
HRV,2005,0.390506610782317,0.608611131077169
HRV,2006,0.356190662633562,0.642898096377986
HRV,2007,0.323634713325852,0.675056854623416
HRV,2008,0.357206628410512,0.641025457205536
HRV,2009,0.388200600407782,0.610002338879435
HRV,2010,0.422112702945461,0.576413308042644
HRV,2011,0.411451286111416,0.587623038275426
HRV,2012,0.462695020322369,0.535380841255289
HRV,2013,0.522185868061744,0.475853040391144
HRV,2014,0.527083412258893,0.47059204132646
HRV,2015,0.507567440222029,0.490322424190955
HRV,2016,0.517496069922452,0.48021726026527
HRV,2017,0.523197980335553,0.47407299037481
HRV,2018,0.570208679999925,0.425135961895827
HRV,2019,0.584561629146653,0.408525246976015
HRV,2020,0.623416906391198,0.366150385521647
HRV,2021,0.671190031317357,0.317387396627872
HRV,2022,0.653991958985919,0.333526177162258
HRV,2023,0.673770193893096,0.313278313806322
HUN,1990,0.0536558917384927,0.704904430767571
HUN,1991,0.0550372406370179,0.698982625919691
HUN,1992,0.0572944013527406,0.681338330631217
HUN,1993,0.0595918612614065,0.678080950062423
HUN,1994,0.0618978695008335,0.662340709698242
HUN,1995,0.0626901226698203,0.674312620571366
HUN,1996,0.0629023599089005,0.663082505434037
HUN,1997,0.0626278723814926,0.660959144720268
HUN,1998,0.0667751908381065,0.638104021306412
HUN,1999,0.0707616082009761,0.617143175337946
HUN,2000,0.0715095443745551,0.607189396510992
HUN,2001,0.076878176726323,0.593787224321501
HUN,2002,0.0783855027622951,0.594015679064373
HUN,2003,0.0870122371190351,0.633883933521416
HUN,2004,0.0929423136652079,0.599114237158201
HUN,2005,0.155626661973701,0.505503960699476
HUN,2006,0.158766975700473,0.508912660200288
HUN,2007,0.172743632132208,0.465144447071962
HUN,2008,0.18468349072808,0.454264176923786
HUN,2009,0.221238759500655,0.436857900771876
HUN,2010,0.23440825844467,0.419583331641043
HUN,2011,0.245535726097204,0.405612531578751
HUN,2012,0.269824526597602,0.379314581935397
HUN,2013,0.293329321364594,0.3570057830785
HUN,2014,0.274003912897956,0.355031099625453
HUN,2015,0.292647693576801,0.337995814133763
HUN,2016,0.283737417157996,0.344259266657728
HUN,2017,0.286661355798358,0.3353700359062
HUN,2018,0.276242779918148,0.341843744499713
HUN,2019,0.283104159416749,0.323085935698979
HUN,2020,0.292909565344576,0.310275910274458
HUN,2021,0.321941123658331,0.285686768160267
HUN,2022,0.324742766565794,0.286450932742159
HUN,2023,0.325386428350141,0.285643286338858
IRL,1990,0.0483712476537374,0.544643414212169
IRL,1991,0.0510329011953466,0.584060535378758
IRL,1992,0.052705446573074,0.61615547521605
IRL,1993,0.0465195337870704,0.624884966678419
IRL,1994,0.0489136102382284,0.616296399483498
IRL,1995,0.0377029525892587,0.548570686015111
IRL,1996,0.0476176953593581,0.612427886804593
IRL,1997,0.063357626197274,0.668081633400905
IRL,1998,0.0941133467500555,0.571717849658821
IRL,1999,0.0902290374435853,0.448463788075911
IRL,2000,0.109023691445002,0.443875819991902
IRL,2001,0.131966456980012,0.370957568624063
IRL,2002,0.169447570070926,0.438436230848896
IRL,2003,0.128995514873268,0.296067246513505
IRL,2004,0.151678897890008,0.366277832528363
IRL,2005,0.21784855151376,0.285926684869525
IRL,2006,0.253622963392058,0.256608534356119
IRL,2007,0.321078453459424,0.226321112624375
IRL,2008,0.337200363783273,0.237210276783261
IRL,2009,0.412467518673025,0.176196575962167
IRL,2010,0.314639224815984,0.128030126813963
IRL,2011,0.430383441017135,0.113563801489465
